WBANNO,LST_DATE,CRX_VN,LONGITUDE,LATITUDE,T_DAILY_MAX,T_DAILY_MIN,T_DAILY_MEAN,T_DAILY_AVG,P_DAILY_CALC,SOLARAD_DAILY,SUR_TEMP_DAILY_TYPE,SUR_TEMP_DAILY_MAX,SUR_TEMP_DAILY_MIN,SUR_TEMP_DAILY_AVG,RH_DAILY_MAX,RH_DAILY_MIN,RH_DAILY_AVG,SOIL_MOISTURE_5_DAILY,SOIL_MOISTURE_10_DAILY,SOIL_MOISTURE_20_DAILY,SOIL_MOISTURE_50_DAILY,SOIL_MOISTURE_100_DAILY,SOIL_TEMP_5_DAILY,SOIL_TEMP_10_DAILY,SOIL_TEMP_20_DAILY,SOIL_TEMP_50_DAILY,SOIL_TEMP_100_DAILY
53877,20010101,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,   -3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010102,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,   -4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010103,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,   -6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010104,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,   -2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010105,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,   -0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010106,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,   -0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010107,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,    0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010108,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,    1.57,R,NA,NA,    0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010109,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,   -1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010110,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,   -1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010111,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,   -1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010112,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,    2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010113,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,    3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010114,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,    4.89,R,NA,NA,    5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53877,20010115,-9.000, -82.61,  35.49,NA,NA,NA,NA,NA,NA,R,NA,NA,    4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
